rank,task_description,usage_count,usage_pct
1,Assist with academic assignments and coursework across multiple disciplines,38585.0,5.1945
2,"Troubleshoot and configure hardware, software, and system technical issues",30882.0,4.1575
3,"Develop, debug, and modify websites and web applications",29088.0,3.916
4,Develop and manage business software applications across multiple industries,23925.0,3.2209
5,Draft and refine professional workplace emails and business correspondence,21964.0,2.9569
6,"Create marketing content, advertising campaigns, and SEO materials with platform optimization",21396.0,2.8804
7,Develop comprehensive business strategy documents and corporate planning materials,20231.0,2.7236
8,Provide medical information and health information across multiple specialties,17669.0,2.3787
9,"Help research, compare, and select consumer products for purchase",16697.0,2.2478
10,"Create, convert, format, and manipulate documents across multiple file types",16279.0,2.1915
11,Create and optimize social media content and marketing strategies,15363.0,2.0682
12,Create educational materials and explain concepts across academic subjects,14403.0,1.939
13,"Debug, fix, and refactor code across multiple languages and systems",13834.0,1.8624
14,Provide assistance across multiple practice areas and document types,13392.0,1.8029
15,"Assist with video, audio, and script content creation and production",13223.0,1.7801
16,"Edit, proofread, and reformat documents and written content",12712.0,1.7113
17,"Assist with creative fiction writing, editing, and development",12701.0,1.7099
18,"Help with programming, software development, and coding across multiple languages",12148.0,1.6354
19,Provide comprehensive career development and job transition assistance,12099.0,1.6288
20,"Create religious content, spiritual guidance, poetry, and creative writing",11206.0,1.5086
21,"Provide language learning assistance, translation, and grammar help across multiple languages",11199.0,1.5077
22,"Develop, debug, and optimize machine learning and AI systems",11139.0,1.4996
23,"Help with graphic design, UI/UX work, and branding projects",10997.0,1.4805
24,"Extract, analyze, and process content from images and documents",10924.0,1.4706
25,"Create technical software documentation, diagrams, and architecture content",10913.0,1.4692
26,Help solve and explain mathematics problems across multiple topics and levels,10409.0,1.4013
27,"Create and optimize resumes, cover letters, and job application materials",10088.0,1.3581
28,"Get help with home maintenance, repairs, vehicles, and household systems",10077.0,1.3566
29,"Translate and format diverse professional, academic, medical, and religious content between languages",8938.0,1.2033
30,"Assist with game development, gaming software, and tabletop RPG content",8847.0,1.191
31,Assist with advanced scientific research across biomedical and physical sciences,8748.0,1.1777
32,"Get relationship, dating, parenting, and personal advice across life situations",8555.0,1.1517
33,"Assist with civic information, government services, and institutional research",8534.0,1.1489
34,"Provide food recipes, cooking advice, nutrition information, and beverage recommendations",8507.0,1.1452
35,"Troubleshoot and configure network infrastructure, protocols, and server connections",8423.0,1.1339
36,"Assist with technical and STEM coursework, homework, and assignments",7983.0,1.0747
37,"Provide fitness, nutrition, and sports training information",7880.0,1.0608
38,Conduct comprehensive business and corporate research analysis,7770.0,1.046
39,Assist with healthcare and mental health clinical documentation and professional writing,7680.0,1.0339
40,Learn and troubleshoot DevOps infrastructure and deployment technologies,7170.0,0.9653
41,"Assist with data analysis, statistical computing, and database management tasks",7144.0,0.9618
42,"Implement and troubleshoot authentication, authorization, and security systems for web applications",7098.0,0.9556
43,Debug and fix technical issues in web/mobile applications,7066.0,0.9513
44,"Develop, debug, and publish mobile applications",6529.0,0.879
45,"Help with SQL database design, queries, debugging, and concepts",6306.0,0.8489
46,Automate business processes and data management systems,6161.0,0.8294
47,Grade student work and create educational assessments,5802.0,0.7811
48,Develop financial software and perform financial analysis tasks,5789.0,0.7793
49,"Provide investment information, stock analysis, and financial market information",5368.0,0.7227
50,Create and format professional presentation slides and materials,5271.0,0.7096
51,Provide personal finance information and perform financial calculations,5082.0,0.6842
52,"Provide lifestyle guidance on wellness, productivity, and personal care",4903.0,0.6601
53,"Assist with graduate-level academic writing, research, and assignments across disciplines",4858.0,0.654
54,Practice job interviews and roleplay professional scenarios,4812.0,0.6478
55,"Develop and debug automated trading systems, bots, and indicators",4804.0,0.6467
56,Manage and operate e-commerce business operations and customer service,4757.0,0.6404
57,"Plan travel itineraries and book accommodations, flights, and activities",4644.0,0.6252
58,Provide technical assistance with electrical engineering and power systems,4470.0,0.6018
59,"Debug and implement backend APIs, integrations, and messaging systems",4213.0,0.5672
60,"Debug and troubleshoot software errors, performance issues, and memory problems",4207.0,0.5664
61,"Recommend entertainment media and provide information about movies, music, books, and TV shows",4137.0,0.5569
62,"Create data visualizations, dashboards, and knowledge maps",4047.0,0.5448
63,"Assist with git, version control, and repository management tasks",4043.0,0.5443
64,"Create prediction tools for gaming, sports analysis, and divination readings",4012.0,0.5401
65,Edit and revise academic writing on AI and research topics,3499.0,0.4711
66,Draft and revise formal legal correspondence and court documents,3389.0,0.4562
67,"Assist with B2B sales, fundraising, and business development outreach",3360.0,0.4523
68,"Assist with earth sciences, environmental research, and natural science tasks",3043.0,0.4097
69,"Analyze political media, misinformation, and high-profile criminal investigations",2955.0,0.3978
70,Draft personal text messages and occasion-specific written communications,2886.0,0.3885
